RunId,iteration,Step,has_regulation,num_month_rent_renovation,rent_increase_differential,max_complaint,rent_discount,init_num_people,base_decay_constant,decay_differential,mean_quality,mean_complaints,mean_displacement,mean_housing_quality,mean_rent_price,hh_low_quality,hh_rent_regulation,movement,attempt,movement_li,attempt_li
37,6,2,True,3,0.1,4,0.5,2,0.15,0.05,"(69.53447053766222, 64.98077827389355)","(0.6190476190476191, 0.25)","(0.047619047619047616, 0.6071428571428571)","(52.296189321729784, 100.0)","(0.2114525384964725, 0.5665122627713427)","(28, 9)","(184, 124)",48,"(85, 0)",7,"(37, 0)"
37,6,4,True,3,0.1,4,0.5,2,0.15,0.05,"(64.062803460885, 52.97734554011258)","(1.0714285714285714, 0.8214285714285714)","(0.3333333333333333, 0.6428571428571429)","(40.895917287084934, 100.0)","(0.20824571877487727, 0.7082726987715516)","(41, 20)","(181, 127)",77,"(177, 26)",7,"(71, 1)"
37,6,6,True,3,0.1,4,0.5,2,0.15,0.05,"(66.301938269924, 50.44661986645868)","(0.7142857142857143, 0.4642857142857143)","(0.746031746031746, 0.8571428571428571)","(39.42848493445296, 100.0)","(0.20510217736764913, 0.9217516822552517)","(42, 16)","(179, 129)",111,"(295, 75)",9,"(103, 8)"
37,6,8,True,3,0.1,4,0.5,2,0.15,0.05,"(62.84868567300454, 47.171019947253434)","(0.8492063492063492, 0.8571428571428571)","(0.8492063492063492, 0.9285714285714286)","(34.51824708904922, 100.0)","(0.20661310412716075, 1.1330057579639878)","(35, 15)","(180, 128)",117,"(420, 104)",9,"(135, 11)"
37,6,10,True,3,0.1,4,0.5,2,0.15,0.05,"(62.20866569210038, 44.280871932576254)","(0.9682539682539683, 0.39285714285714285)","(0.9285714285714286, 0.9642857142857143)","(32.16149614608359, 100.0)","(0.205159903962887, 1.4214889321788282)","(49, 15)","(180, 128)",119,"(544, 144)",9,"(167, 18)"
37,6,12,True,3,0.1,4,0.5,2,0.15,0.05,"(66.20006797025827, 42.188834562958895)","(0.7063492063492064, 0.9642857142857143)","(0.9603174603174603, 0.9642857142857143)","(35.36644588966487, 100.0)","(0.205159903962887, 1.7831157165251228)","(22, 15)","(180, 128)",119,"(668, 183)",9,"(199, 20)"
37,6,14,True,3,0.1,4,0.5,2,0.15,0.05,"(63.04040156615629, 41.22059907376172)","(0.7857142857142857, 0.39285714285714285)","(0.9682539682539683, 0.9642857142857143)","(31.48913520746649, 100.0)","(0.205159903962887, 2.2367403548091134)","(42, 16)","(180, 128)",119,"(792, 215)",9,"(231, 27)"
37,6,16,True,3,0.1,4,0.5,2,0.15,0.05,"(62.04209540949866, 37.81459440440686)","(0.8809523809523809, 0.9285714285714286)","(0.9761904761904762, 0.9642857142857143)","(29.422467147863262, 100.0)","(0.205159903962887, 2.8057671010725542)","(42, 19)","(180, 128)",119,"(916, 248)",9,"(263, 29)"
37,6,18,True,3,0.1,4,0.5,2,0.15,0.05,"(62.36060874306071, 42.79657227186768)","(0.8174603174603174, 0.5)","(0.9761904761904762, 1.0)","(30.766263579834476, 100.0)","(0.20530655623544444, 3.5240355860042043)","(43, 15)","(180, 128)",123,"(1040, 288)",9,"(295, 37)"
37,6,20,True,3,0.1,4,0.5,2,0.15,0.05,"(64.78463564266681, 43.91068589467295)","(0.8095238095238095, 0.6428571428571429)","(0.9761904761904762, 1.0)","(33.787737626336465, 100.0)","(0.20543111279379067, 4.424452079951879)","(34, 15)","(180, 128)",125,"(1164, 323)",9,"(327, 39)"
32,5,0,True,3,0.15,4,0.5,2,0.15,0.05,"(72.41542160118287, 70.74955507314544)","(0.0, 0.0)","(0.0, 0.0)","(71.39792785628444, 72.52261206215663)","(0.202461478137674, 0.3939935927425084)","(0, 0)","(136, 172)",0,"(0, 0)",0,"(0, 0)"
32,5,2,True,3,0.15,4,0.5,2,0.15,0.05,"(68.60262478870922, 70.56319785049055)","(0.652542372881356, 0.3888888888888889)","(0.13559322033898305, 0.5555555555555556)","(47.85946228747383, 100.0)","(0.199649083434727, 0.5541931733913341)","(44, 13)","(161, 147)",48,"(108, 0)",10,"(50, 0)"
32,5,4,True,3,0.15,4,0.5,2,0.15,0.05,"(65.22716188715557, 63.16676317449527)","(0.8983050847457628, 0.9166666666666666)","(0.5084745762711864, 0.6388888888888888)","(38.62437369252013, 100.0)","(0.20017284258701776, 0.7623335386747768)","(37, 16)","(158, 150)",71,"(226, 30)",10,"(90, 3)"
32,5,6,True,3,0.15,4,0.5,2,0.15,0.05,"(65.9536710632599, 66.77971119632394)","(0.5932203389830508, 0.3333333333333333)","(0.8813559322033898, 0.8611111111111112)","(39.270103020821814, 100.0)","(0.198252994258612, 1.0473324238675852)","(41, 10)","(158, 150)",80,"(366, 71)",11,"(132, 11)"
32,5,8,True,3,0.15,4,0.5,2,0.15,0.05,"(62.611137073032175, 61.313536968679756)","(0.6779661016949152, 0.6111111111111112)","(0.8983050847457628, 0.8611111111111112)","(32.763495549684094, 100.0)","(0.19819665298876882, 1.433661874839238)","(42, 15)","(158, 150)",82,"(506, 97)",11,"(174, 14)"
32,5,10,True,3,0.15,4,0.5,2,0.15,0.05,"(60.71342901236789, 60.34466868515225)","(0.8220338983050848, 0.6111111111111112)","(0.9152542372881356, 0.9166666666666666)","(29.752724039881176, 100.0)","(0.19819665298876882, 1.962539740467433)","(53, 13)","(158, 150)",82,"(646, 128)",11,"(216, 21)"
32,5,12,True,3,0.15,4,0.5,2,0.15,0.05,"(60.89147110188304, 62.06407141186431)","(0.6779661016949152, 0.5277777777777778)","(0.9576271186440678, 0.9444444444444444)","(30.24819254020621, 100.0)","(0.19819665298876882, 2.68652065072587)","(37, 11)","(158, 150)",82,"(786, 168)",11,"(258, 27)"
32,5,14,True,3,0.15,4,0.5,2,0.15,0.05,"(64.12729599837026, 60.632650246744156)","(0.7288135593220338, 0.5833333333333334)","(0.9576271186440678, 0.9722222222222222)","(33.27366442256895, 100.0)","(0.19819665298876882, 3.677578118778643)","(36, 15)","(158, 150)",82,"(926, 197)",11,"(300, 33)"
32,5,16,True,3,0.15,4,0.5,2,0.15,0.05,"(64.52247241535777, 59.29933476632058)","(0.6186440677966102, 0.6388888888888888)","(0.9576271186440678, 1.0)","(33.4579644501768, 100.0)","(0.19842846814340642, 5.000381559374895)","(41, 16)","(158, 150)",85,"(1066, 232)",11,"(342, 38)"
32,5,18,True,3,0.15,4,0.5,2,0.15,0.05,"(63.40910477726385, 57.453410235956326)","(0.7542372881355932, 0.4722222222222222)","(0.9661016949152542, 1.0)","(31.310670323911094, 100.0)","(0.19842846814340642, 6.8450223166282935)","(44, 16)","(158, 150)",85,"(1206, 264)",11,"(384, 45)"
32,5,20,True,3,0.15,4,0.5,2,0.15,0.05,"(64.46826120072033, 56.335807395993726)","(0.6271186440677966, 0.6388888888888888)","(0.9661016949152542, 1.0)","(32.39083621736575, 100.0)","(0.19843593188658362, 9.411297960336515)","(32, 16)","(158, 150)",87,"(1346, 299)",11,"(426, 49)"
34,5,0,True,6,0.1,4,0.5,2,0.15,0.05,"(72.59218548236551, 73.45887796981629)","(0.0, 0.0)","(0.0, 0.0)","(72.94363021204303, 72.6367891798115)","(0.20183758480546576, 0.4030259876751959)","(0, 0)","(136, 172)",0,"(0, 0)",0,"(0, 0)"
34,5,2,True,6,0.1,4,0.5,2,0.15,0.05,"(72.64526833709759, 64.68775019015)","(0.5983606557377049, 0.4375)","(0.08196721311475409, 0.53125)","(48.89557756174333, 100.0)","(0.2001167226710701, 0.5299069250296546)","(32, 10)","(158, 150)",49,"(95, 0)",9,"(43, 0)"
34,5,4,True,6,0.1,4,0.5,2,0.15,0.05,"(68.98385140152924, 53.26008757254623)","(0.7704918032786885, 0.8125)","(0.4672131147540984, 0.65625)","(36.54680664075619, 100.0)","(0.19417861430020822, 0.6753120426788785)","(45, 22)","(153, 155)",75,"(210, 30)",9,"(77, 4)"
34,5,6,True,6,0.1,4,0.5,2,0.15,0.05,"(68.35520091048356, 54.43284038737266)","(0.6475409836065574, 0.65625)","(0.819672131147541, 0.875)","(34.27551646416464, 100.0)","(0.19664891826343125, 0.8439570207751549)","(44, 17)","(153, 155)",98,"(362, 67)",10,"(112, 11)"
34,5,8,True,6,0.1,4,0.5,2,0.15,0.05,"(68.29764751655823, 50.40361587093895)","(0.7049180327868853, 0.65625)","(0.9016393442622951, 0.90625)","(32.79899178159802, 100.0)","(0.19795772702527317, 1.0541688972215153)","(32, 18)","(154, 154)",103,"(516, 96)",10,"(147, 16)"
34,5,10,True,6,0.1,4,0.5,2,0.15,0.05,"(66.39013048756864, 44.3411291730903)","(0.7049180327868853, 0.59375)","(0.9262295081967213, 0.96875)","(28.778218538674075, 100.0)","(0.1983952005353568, 1.315053156409857)","(40, 23)","(155, 153)",104,"(668, 127)",10,"(182, 22)"
